nombre,vigencia,materia,supervisor,contacto,foto,dependencia_id
Juan Carlos Rosas Sánchez,2013-2015,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",JUAN CARLOS ROSAS SANCHEZ.jpg,Coordinación de Gobierno y Regulación del Comercio
Camilo Peñaloza Garfias ,2013-2015,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",CAMILO PEÑALOZA GARFIAS.jpg,Coordinación de Gobierno y Regulación del Comercio
Cruz Hernández Aranda,2013-2014,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",CRUZ HERNANDEZ ARANDA.jpg,Coordinación de Gobierno y Regulación del Comercio
José Alfredo Mondragón Valdez,2013-2015,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",JOSE ALFREDO MONDRAGON VALDEZ.jpg,Coordinación de Gobierno y Regulación del Comercio
Cecilio Bartolomé López Elias,2013-2012,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",CECILIO BARTOLOME LOPEZ ELIAS.jpg,Coordinación de Gobierno y Regulación del Comercio
Raymundo Díaz Lara,2013-2010,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",RAYMUNDO DÍAZ LARA.jpg,Coordinación de Gobierno y Regulación del Comercio
Mario Alberto Reyes Segura,2013-2009,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",MARIO ALBERTO REYES SEGURA.jpg,Coordinación de Gobierno y Regulación del Comercio
Tomás Medina Vargas,2013-2008,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",TOMAS MEDINA VARGAS.jpg,Coordinación de Gobierno y Regulación del Comercio
Ulises García Rivera,2013-2015,N/A,"Área responsable de realizar la inspección comercial.
Coordinación de Gobierno y Regulación del Comercio","Teléfono  oficina: (01 7 17) 14 4 14 47
Domicilio: Portal Filiberto Gómez no. 107, Tenango del Valle",ULISES GARCIA RIVERA.jpg,Coordinación de Gobierno y Regulación del Comercio